# Formato: id;titolo;genere;regista;anno;durata;etaMinima;dataOra;costo
1;A Beautiful Mind;Biography;Ron Howard;2001;135;12;2027-12-30 10:30;8.5
2;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;2027-12-29 16:00;8.5
3;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;2027-12-29 12:30;8.5
4;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;2027-12-29 10:00;8.0
5;Blue Velvet;Drama;David Lynch;1986;120;12;2027-12-28 15:30;7.5
6;The Philadelphia Story;Comedy;George Cukor;1940;112;12;2027-12-28 13:00;8.5
7;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;2027-12-28 10:00;6.5
8;The Blues Brothers;Action;John Landis;1980;133;0;2027-12-27 14:00;8.5
9;The Bridge on the River Kwai;Adventure;David Lean;1957;161;6;2027-12-27 10:30;7.5
10;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;2027-12-26 19:30;10.0
11;The Bridge on the River Kwai;Adventure;David Lean;1957;161;6;2027-12-26 16:00;8.5
12;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;2027-12-26 13:00;8.5
13;Blue Velvet;Drama;David Lynch;1986;120;12;2027-12-26 10:00;7.5
14;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;2027-12-25 22:00;10.0
15;Gandhi;Biography;Richard Attenborough;1982;191;0;2027-12-25 18:00;9.0
16;The Lord of the Rings: The Fellowship of the Ring;Action;Peter Jackson;2001;178;0;2027-12-25 14:30;7.0
17;The Lord of the Rings: The Fellowship of the Ring;Action;Peter Jackson;2001;178;0;2027-12-25 10:30;8.0
18;Misery;Drama;Rob Reiner;1990;107;16;2027-12-24 13:30;8.0
19;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;2027-12-24 10:30;8.5
20;The Hurricane;Biography;Norman Jewison;1999;146;16;2027-12-23 10:00;8.5
21;C.R.A.Z.Y.;Comedy;Jean-Marc Vallée;2005;129;12;2027-12-22 17:00;8.0
22;Misery;Drama;Rob Reiner;1990;107;16;2027-12-22 14:30;7.5
23;Veer-Zaara;Drama;Yash Chopra;2004;192;0;2027-12-22 10:30;7.5
24;Primal Fear;Crime;Gregory Hoblit;1996;129;12;2027-12-21 16:00;7.0
